Student_ID,Age,Gender,Study_Hours,Screen_Time_Hours,Social_Media_Hours,Sleep_Hours,Productivity_Score,Cognitive_Test_Score,Stress_Level,Device_Type
1,Twenty,Female,5.45,5.62,3.34,8.28,95.0,85.0,Medium,Laptop
2,20,Female,6.74,Ten,1.99,6.8,100.0,96.0,Low,Mobile
3,21,Male,3.57,20,5.45,6.12,68.0,88.0,High,Mobile
4,23,Female,2.44,5.39,3.56,5.96,150,92.0,Medium,Mobile
5,20,Male,4.71,5.02,2.82,7.97,93.0,97.0,Medium,Laptop
6,20,Male,2.36,9.18,5.74,6.48,73.0,79.0,High,Mobile
7,23,Male,4.37,3.52,1.56,6.83,99.0,100.0,Low,Mobile
8,22,Male,3.68,3.75,1.89,7.14,94.0,98.0,Low,Laptop
9,20,Female,4.58,3.81,1.97,8.78,100.0,100.0,Low,Mobile
10,21,Male,3.83,5.86,3.24,6.97,88.0,94.0,Medium,Mobile
11,20,Male,1.39,6.86,4.66,6.68,71.0,91.0,Medium,Mobile
12,20,Female,4.9,7.48,4.95,5.95,76.0,81.0,High,Laptop
13,21,Male,5.62,11.14,4.91,4.46,73.0,77.0,Very High,Mobile
14,18,Female,6.58,1.5,0.68,7.77,100.0,100.0,Low,Laptop
15,18,Male,3.89,,3.66,7.02,72.0,84.0,High,Laptop
16,20,Female,4.77,4.89,2.38,8.1,89.0,97.0,Medium,Mobile
17,19,Female,4.35,4.83,2.82,5.44,97.0,91.0,Medium,Tablet
18,21,Male,4.98,4.76,3.19,6.35,99.0,89.0,Medium,Mobile
19,19,Male,5.0,4.18,2.88,6.9,93.0,99.0,Medium,Mobile
20,18,Male,2.48,9.37,5.59,6.32,75.0,82.0,High,Laptop
21,23,Female,6.02,7.68,5.0,6.55,82.0,87.0,High,Mobile
22,20,Male,2.7,6.05,3.37,6.89,82.0,86.0,Medium,Mobile
23,21,Male,4.55,8.7,4.02,6.79,76.0,77.0,High,Mobile
24,18,Male,5.29,2.97,1.66,6.88,,100.0,Low,Mobile
25,20,Male,7.58,3.34,1.89,8.28,100.0,98.0,Low,Mobile
26,21,Male,6.22,1.64,1.02,8.22,100.0,100.0,Low,Laptop
27,19,Female,4.49,4.6,2.14,7.02,96.0,89.0,Medium,Laptop
28,21,Male,4.11,6.32,3.23,8.22,89.0,91.0,Medium,Mobile
29,20,Male,4.48,6.21,3.16,8.2,89.0,93.0,Medium,Mobile
30,20,Female,3.04,6.3,4.33,7.69,83.0,87.0,Medium,Mobile
31,20,Female,4.43,3.18,1.7,5.15,100.0,93.0,Low,Mobile
32,23,Male,1.88,7.61,4.77,7.94,78.0,79.0,High,Mobile
33,20,Male,3.25,6.48,4.05,7.54,87.0,87.0,Medium,Mobile
34,19,Male,4.17,7.47,3.58,8.31,78.0,89.0,High,Mobile
35,22,Female,6.0,2.21,1.26,8.75,100.0,100.0,Low,Mobile
36,19,Male,1.94,6.62,4.42,8.14,88.0,94.0,Medium,Laptop
37,21,Female,5.05,3.62,1.96,8.18,100.0,100.0,Low,Mobile
38,18,Female,5.41,5.21,3.56,8.24,100.0,97.0,Medium,Tablet
39,19,Female,3.98,7.07,3.28,8.38,77.0,87.0,High,Laptop
40,21,Male,3.69,6.18,2.61,7.14,86.0,91.0,Medium,Tablet
41,22,Male,4.52,4.3,2.87,6.08,94.0,90.0,Medium,Laptop
42,21,Male,3.85,6.01,3.93,6.75,85.0,89.0,Medium,Laptop
43,20,Male,4.65,2.94,2.05,7.92,100.0,100.0,Low,Mobile
44,20,Female,4.02,8.3,5.01,6.6,79.0,83.0,High,Mobile
45,18,Female,7.39,,3.81,6.08,95.0,89.0,Medium,Laptop
46,19,Female,2.94,8.24,5.34,5.25,75.0,80.0,High,Laptop
47,20,Female,4.43,4.95,3.23,6.62,86.0,93.0,Medium,Mobile
48,22,Male,4.75,4.95,2.83,7.86,91.0,99.0,Medium,Laptop
49,21,Male,4.13,4.47,2.3,8.57,98.0,100.0,Medium,Mobile
50,18,Male,5.29,7.75,5.27,7.38,87.0,77.0,High,Mobile
51,21,Female,2.08,4.58,2.43,8.13,92.0,93.0,Medium,Mobile
52,20,Female,3.48,7.29,4.09,6.68,75.0,92.0,High,Laptop
53,19,Female,5.71,,2.8,5.76,98.0,100.0,Medium,Laptop
54,21,Male,5.33,2.05,1.17,7.43,100.0,100.0,Low,Laptop
55,22,Male,3.86,4.86,2.63,7.02,91.0,91.0,Medium,Laptop
56,22,Female,5.74,3.64,1.51,7.07,100.0,100.0,Low,Mobile
57,19,Male,5.57,6.07,4.03,7.03,91.0,87.0,Medium,Tablet
58,20,Female,5.47,3.62,1.93,7.83,92.0,100.0,Low,Mobile
59,21,Female,2.98,7.85,4.53,7.31,73.0,87.0,High,Laptop
60,22,Female,5.1,5.82,2.57,6.81,92.0,88.0,Medium,Mobile
61,20,Male,4.13,5.64,2.26,5.55,97.0,91.0,Medium,Mobile
62,20,Male,5.0,7.31,3.46,6.35,88.0,87.0,High,Laptop
63,19,Male,5.7,7.93,4.85,6.65,82.0,82.0,High,Laptop
64,19,Male,1.39,,2.56,7.99,86.0,93.0,Medium,Mobile
65,22,Male,5.1,4.46,3.0,6.85,87.0,88.0,Medium,Laptop
66,23,Female,3.48,2.45,1.14,8.12,100.0,100.0,Low,Mobile
67,20,Female,7.84,4.63,2.14,7.51,100.0,94.0,Medium,Mobile
68,22,Male,4.31,4.77,2.17,7.28,97.0,95.0,Medium,Laptop
69,21,Male,5.33,6.21,2.51,7.7,89.0,88.0,Medium,Mobile
70,20,Male,4.66,5.31,3.35,6.61,99.0,94.0,Medium,Laptop
71,21,Male,3.12,7.38,4.89,6.26,69.0,84.0,High,Mobile
72,23,Female,3.76,4.77,2.79,7.24,86.0,99.0,Medium,Mobile
73,20,Male,6.44,5.89,2.69,6.51,91.0,86.0,Medium,Mobile
74,23,Male,4.94,8.37,4.06,6.93,88.0,83.0,High,Mobile
75,18,Male,6.63,6.68,3.63,6.29,92.0,80.0,Medium,Mobile
76,22,Female,4.6,5.88,4.04,7.21,84.0,82.0,Medium,Laptop
77,21,Female,5.21,4.8,2.28,7.16,93.0,92.0,Medium,Tablet
78,20,Male,4.56,4.73,2.93,7.43,100.0,95.0,Medium,Laptop
79,21,Male,4.67,4.3,2.29,6.97,100.0,100.0,Medium,Laptop
80,18,Female,3.57,4.92,2.41,6.94,93.0,91.0,Medium,Mobile
81,20,Female,4.15,7.51,4.03,6.77,85.0,85.0,High,Mobile
82,21,Male,3.68,5.56,2.34,7.25,81.0,91.0,Medium,Mobile
83,23,Female,5.84,3.3,2.11,7.54,100.0,93.0,Low,Mobile
84,20,Female,3.64,9.54,4.51,7.66,69.0,85.0,High,Laptop
85,19,Female,4.65,6.64,4.1,6.08,94.0,91.0,Medium,Mobile
