Student_ID,Age,Gender,Study_Hours,Screen_Time_Hours,Social_Media_Hours,Sleep_Hours,Productivity_Score,Cognitive_Test_Score,Stress_Level,Device_Type,Screen_Time_Category,Social_Media_Category
1,21.0,Female,5.45,5.62,3.34,8.28,95.0,85.0,Medium,Laptop,Medium,Medium
2,20.0,Female,6.74,5.93,1.99,6.8,100.0,96.0,Low,Mobile,Medium,Low
5,20.0,Male,4.71,5.02,2.82,7.97,93.0,97.0,Medium,Laptop,Medium,Medium
6,20.0,Male,2.36,9.18,5.74,6.48,73.0,79.0,High,Mobile,High,High
7,23.0,Male,4.37,3.52,1.56,6.83,99.0,100.0,Low,Mobile,Medium,Low
8,22.0,Male,3.68,3.75,1.89,7.14,94.0,98.0,Low,Laptop,Medium,Low
9,20.0,Female,4.58,3.81,1.97,8.78,100.0,100.0,Low,Mobile,Medium,Low
10,21.0,Male,3.83,5.86,3.24,6.97,88.0,94.0,Medium,Mobile,Medium,Medium
11,20.0,Male,1.39,6.86,4.66,6.68,71.0,91.0,Medium,Mobile,High,Medium
12,20.0,Female,4.9,7.48,4.95,5.95,76.0,81.0,High,Laptop,High,Medium
13,21.0,Male,5.62,11.14,4.91,4.46,73.0,77.0,Very High,Mobile,High,Medium
14,18.0,Female,6.58,1.5,0.68,7.77,100.0,100.0,Low,Laptop,Low,Low
15,18.0,Male,3.89,5.93,3.66,7.02,72.0,84.0,High,Laptop,Medium,Medium
16,20.0,Female,4.77,4.89,2.38,8.1,89.0,97.0,Medium,Mobile,Medium,Medium
17,19.0,Female,4.35,4.83,2.82,5.44,97.0,91.0,Medium,Tablet,Medium,Medium
18,21.0,Male,4.98,4.76,3.19,6.35,99.0,89.0,Medium,Mobile,Medium,Medium
19,19.0,Male,5.0,4.18,2.88,6.9,93.0,99.0,Medium,Mobile,Medium,Medium
20,18.0,Male,2.48,9.37,5.59,6.32,75.0,82.0,High,Laptop,High,High
21,23.0,Female,6.02,7.68,5.0,6.55,82.0,87.0,High,Mobile,High,Medium
22,20.0,Male,2.7,6.05,3.37,6.89,82.0,86.0,Medium,Mobile,High,Medium
23,21.0,Male,4.55,8.7,4.02,6.79,76.0,77.0,High,Mobile,High,Medium
24,18.0,Male,5.29,2.97,1.66,6.88,88.40113941018767,100.0,Low,Mobile,Low,Low
25,20.0,Male,7.58,3.34,1.89,8.28,100.0,98.0,Low,Mobile,Medium,Low
26,21.0,Male,6.22,1.64,1.02,8.22,100.0,100.0,Low,Laptop,Low,Low
27,19.0,Female,4.49,4.6,2.14,7.02,96.0,89.0,Medium,Laptop,Medium,Medium
28,21.0,Male,4.11,6.32,3.23,8.22,89.0,91.0,Medium,Mobile,High,Medium
29,20.0,Male,4.48,6.21,3.16,8.2,89.0,93.0,Medium,Mobile,High,Medium
30,20.0,Female,3.04,6.3,4.33,7.69,83.0,87.0,Medium,Mobile,High,Medium
31,20.0,Female,4.43,3.18,1.7,5.15,100.0,93.0,Low,Mobile,Medium,Low
32,23.0,Male,1.88,7.61,4.77,7.94,78.0,79.0,High,Mobile,High,Medium
33,20.0,Male,3.25,6.48,4.05,7.54,87.0,87.0,Medium,Mobile,High,Medium
34,19.0,Male,4.17,7.47,3.58,8.31,78.0,89.0,High,Mobile,High,Medium
35,22.0,Female,6.0,2.21,1.26,8.75,100.0,100.0,Low,Mobile,Low,Low
36,19.0,Male,1.94,6.62,4.42,8.14,88.0,94.0,Medium,Laptop,High,Medium
37,21.0,Female,5.05,3.62,1.96,8.18,100.0,100.0,Low,Mobile,Medium,Low
38,18.0,Female,5.41,5.21,3.56,8.24,100.0,97.0,Medium,Tablet,Medium,Medium
39,19.0,Female,3.98,7.07,3.28,8.38,77.0,87.0,High,Laptop,High,Medium
40,21.0,Male,3.69,6.18,2.61,7.14,86.0,91.0,Medium,Tablet,High,Medium
41,22.0,Male,4.52,4.3,2.87,6.08,94.0,90.0,Medium,Laptop,Medium,Medium
42,21.0,Male,3.85,6.01,3.93,6.75,85.0,89.0,Medium,Laptop,High,Medium
43,20.0,Male,4.65,2.94,2.05,7.92,100.0,100.0,Low,Mobile,Low,Medium
44,20.0,Female,4.02,8.3,5.01,6.6,79.0,83.0,High,Mobile,High,High
45,18.0,Female,7.39,5.93,3.81,6.08,95.0,89.0,Medium,Laptop,Medium,Medium
46,19.0,Female,2.94,8.24,5.34,5.25,75.0,80.0,High,Laptop,High,High
47,20.0,Female,4.43,4.95,3.23,6.62,86.0,93.0,Medium,Mobile,Medium,Medium
48,22.0,Male,4.75,4.95,2.83,7.86,91.0,99.0,Medium,Laptop,Medium,Medium
49,21.0,Male,4.13,4.47,2.3,8.57,98.0,100.0,Medium,Mobile,Medium,Medium
50,18.0,Male,5.29,7.75,5.27,7.38,87.0,77.0,High,Mobile,High,High
51,21.0,Female,2.08,4.58,2.43,8.13,92.0,93.0,Medium,Mobile,Medium,Medium
52,20.0,Female,3.48,7.29,4.09,6.68,75.0,92.0,High,Laptop,High,Medium
53,19.0,Female,5.71,5.93,2.8,5.76,98.0,100.0,Medium,Laptop,Medium,Medium
54,21.0,Male,5.33,2.05,1.17,7.43,100.0,100.0,Low,Laptop,Low,Low
55,22.0,Male,3.86,4.86,2.63,7.02,91.0,91.0,Medium,Laptop,Medium,Medium
56,22.0,Female,5.74,3.64,1.51,7.07,100.0,100.0,Low,Mobile,Medium,Low
57,19.0,Male,5.57,6.07,4.03,7.03,91.0,87.0,Medium,Tablet,High,Medium
58,20.0,Female,5.47,3.62,1.93,7.83,92.0,100.0,Low,Mobile,Medium,Low
59,21.0,Female,2.98,7.85,4.53,7.31,73.0,87.0,High,Laptop,High,Medium
60,22.0,Female,5.1,5.82,2.57,6.81,92.0,88.0,Medium,Mobile,Medium,Medium
